#,Name,base_name,form,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Computed Total,Total Match,Offense Score,Defense Score,Bulk Score,Mobility Score,Best Attack,Best Defense,Offense Score Norm,Defense Score Norm,Bulk Score Norm,Mobility Score Norm,Viability Score,Role,Display Name,Type Tuple,Type Offense Raw,Type Defense Raw,Coverage Super Effective Rate,Coverage Resisted Rate,Incoming Weakness Rate,Incoming Resistance Rate,Incoming Immunity Rate,Expected Incoming Multiplier,Type Offense Norm,Type Defense Norm,Offense Capability,Defense Capability,Meta Viability Score
1,Bulbasaur,Bulbasaur,Base,Grass,Poison,318,45,49,49,65,65,45,1,False,318,True,57.0,57.0,53.0,45,65,65,0.27647058823529413,0.18588235294117647,0.21707317073170734,0.22857142857142856,0.23236421397827425,Balanced,Bulbasaur,"('Grass', 'Poison')",1.3374999999999972,0.9329490865455523,0.31874999999999964,0.11000000000000004,0.24135090609555185,0.29983525535420097,0.0,1.0718698517298186,0.6177215189873422,0.35693183277145646,0.4129709605361134,0.26209984932092123,0.31295868539317717
2,Ivysaur,Ivysaur,Base,Grass,Poison,405,60,62,63,80,80,60,1,False,405,True,71.0,71.5,67.66666666666667,60,80,80,0.3588235294117647,0.2541176470588235,0.3243902439024391,0.3142857142857143,0.3168528386964542,Balanced,Ivysaur,"('Grass', 'Poison')",1.3374999999999972,0.9329490865455523,0.31874999999999964,0.11000000000000004,0.24135090609555185,0.29983525535420097,0.0,1.0718698517298186,0.6177215189873422,0.35693183277145646,0.46238272524199575,0.3128114705547806,0.37346731421055773
3,Venusaur,Venusaur,Base,Grass,Poison,525,80,82,83,100,100,80,1,False,525,True,91.0,91.5,87.66666666666667,80,100,100,0.4764705882352941,0.34823529411764703,0.47073170731707326,0.42857142857142855,0.433684156589465,Balanced,Venusaur,"('Grass', 'Poison')",1.3374999999999972,0.9329490865455523,0.31874999999999964,0.11000000000000004,0.24135090609555185,0.29983525535420097,0.0,1.0718698517298186,0.6177215189873422,0.35693183277145646,0.5329709605361133,0.38233801287902736,0.45722812585228756
3,VenusaurMega Venusaur,Venusaur,Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False,625,True,111.0,121.5,107.66666666666667,80,122,123,0.5941176470588235,0.4894117647058824,0.6170731707317074,0.42857142857142855,0.539423037507686,Heavy hitter,Venusaur (Mega Venusaur),"('Grass', 'Poison')",1.3374999999999972,0.9329490865455523,0.31874999999999964,0.11000000000000004,0.24135090609555185,0.29983525535420097,0.0,1.0718698517298186,0.6177215189873422,0.35693183277145646,0.603559195830231,0.4683351434385683,0.5271233912755301
4,Charmander,Charmander,Base,Fire,None,309,39,52,43,60,50,65,1,False,309,True,56.0,46.5,44.0,65,60,50,0.27058823529411763,0.13647058823529412,0.15121951219512197,0.34285714285714286,0.22763886042221765,Balanced,Charmander,"('Fire',)",1.1381249999999974,0.9440124407884671,0.25250000000000006,0.3074999999999998,0.2067545304777595,0.29489291598023065,0.0,1.0593080724876442,0.34852320675105475,0.371680507232312,0.30176222387689244,0.23424178682405822,0.2765518260898785
5,Charmeleon,Charmeleon,Base,Fire,None,405,58,64,58,80,65,80,1,False,405,True,72.0,61.5,60.333333333333336,80,80,65,0.36470588235294116,0.20705882352941177,0.2707317073170732,0.42857142857142855,0.3192723918835827,Balanced,Charmeleon,"('Fire',)",1.1381249999999974,0.9440124407884671,0.25250000000000006,0.3074999999999998,0.2067545304777595,0.29489291598023065,0.0,1.0593080724876442,0.34852320675105475,0.371680507232312,0.3582328121121866,0.28882571795748724,0.3421174133003725
6,Charizard,Charizard,Base,Fire,Flying,534,78,84,78,109,85,100,1,False,534,True,96.5,81.5,80.33333333333333,100,109,85,0.5088235294117647,0.30117647058823527,0.41707317073170735,0.5428571428571428,0.44536841565894647,DPS,Charizard,"('Fire', 'Flying')",1.343749999999996,0.9568472897248371,0.3162499999999997,0.06000000000000001,0.1927512355848435,0.3072487644151565,0.05518945634266886,1.0450988467874796,0.6261603375527414,0.38879077999050443,0.5557582526681553,0.365196369385011,0.4800960456601788
6,CharizardMega Charizard X,Charizard,Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False,634,True,130.0,98.0,91.33333333333333,100,130,111,0.7058823529411765,0.3788235294117647,0.49756097560975615,0.5428571428571428,0.5498483295757328,DPS,Charizard (Mega Charizard X),"('Dragon', 'Fire')",1.3537499999999953,1.0251213837918534,0.31249999999999983,0.007500000000000001,0.1441515650741351,0.271828665568369,0.0,0.9754942339373972,0.6396624472573819,0.4798076963248176,0.6793943906676586,0.44890155772648377,0.5703340444499398
6,CharizardMega Charizard Y,Charizard,Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False,634,True,131.5,96.5,90.33333333333333,100,159,115,0.7147058823529412,0.37176470588235294,0.49024390243902444,0.5428571428571428,0.5497084443533511,DPS,Charizard (Mega Charizard Y),"('Fire', 'Flying')",1.343749999999996,0.9568472897248371,0.3162499999999997,0.06000000000000001,0.1927512355848435,0.3072487644151565,0.05518945634266886,1.0450988467874796,0.6261603375527414,0.38879077999050443,0.6792876644328613,0.4081949346647814,0.558058384254153
7,Squirtle,Squirtle,Base,Water,None,314,44,48,65,50,64,43,1,False,314,True,49.0,64.5,57.666666666666664,43,50,65,0.22941176470588234,0.2211764705882353,0.25121951219512195,0.21714285714285714,0.22926070916171348,Balanced,Squirtle,"('Water',)",1.0643749999999983,0.9946743128164401,0.17500000000000007,0.2874999999999998,0.11943986820428334,0.22817133443163096,0.0,1.005354200988468,0.24894514767932577,0.4392183842370741,0.2372251178952597,0.3159039964494925,0.25662178103863725
